Blue mean,Green mean,Red mean,Blue std,Green std,Red std,Hue mean,Saturation mean,Value mean,Hue std,Saturation std,Value std,L mean,a mean,b mean,L std,a std, b std,Class
"150,2912","118,8615","130,3895","5,2289","8,8786","8,438","131,4628","53,4965","150,4433","10,9909","13,9835","5,1564","132,7733","138,9112","112,5976","8,0062","2,7762","4,7445",c
"158,2896","126,3923","144,6604","6,0253","10,1304","9,7674","136,0408","53,0517","159,4682","18,7224","12,0964","6,3549","141,8101","141,362","113,5512","8,9635","2,8909","5,4443",c
"154,9417","127,0161","143,5692","5,2608","10,3249","9,3363","138,2455","46,8765","155,5516","15,9481","13,6321","5,6156","141,6605","139,8305","115,3671","9,2263","2,9165","4,9669",c
"151,9344","115,6617","132,1807","8,5218","13,4602","14,1391","132,4725","63,1637","153,4545","21,6648","16,6084","8,6889","131,1261","142,0115","110,7452","12,4403","3,2547","7,4119",c
"152,5914","123,9839","138,9914","4,7207","8,9208","8,741","136,2724","48,6253","153,1451","14,368","11,758","4,9225","138,3782","139,4473","114,6366","8,1693","2,163","4,5274",c
"157,9924","138,0892","141,3502","7,4465","17,6362","19,7378","111,2971","37,9209","159,8215","41,2867","22,0858","8,4102","148,9444","133,5623","117,8241","16,4026","3,8841","8,9033",c
"158,2732","134,8839","148,026","5,7804","11,1104","11,8806","135,6405","40,6796","160,2541","28,2376","14,0529","5,7561","148,3372","137,6332","117,3087","10,1558","2,444","6,4382",c
"152,2399","118,9701","129,4763","5,1195","9,2748","8,8583","129,7797","55,7093","152,278","7,9113","14,8316","5,1024","132,8646","139,0457","111,4591","8,3061","3,0034","4,8481",c
"159,4001","130,0353","142,7002","5,3683","9,1395","9,3121","133,6508","47,555","159,8551","13,4293","12,7405","5,5503","143,9775","138,7436","114,0465","8,2519","2,3235","5,0849",c
"154,5266","128,486","141,173","4,6636","8,9171","8,4133","134,5611","43,6325","154,9869","17,1979","13,2803","4,7555","142,1342","138,0434","115,7827","7,9039","2,5051","5,0125",c
"145,0169","121,2383","133,2038","5,0183","11,9625","14,0877","135,9234","44,9442","147,0212","25,4493","16,1504","6,4173","134,5069","137,4927","116,7593","11,4203","2,4518","6,7125",c
"156,2484","123,7307","138,2625","7,4964","16,4207","16,8619","127,3644","57,0302","158,6836","33,7076","20,7577","8,106","138,3949","140,4171","112,5423","14,8157","4,3297","9,3749",c
"154,8861","126,8374","144,9444","7,7814","12,4681","12,6625","136,5195","50,0173","157,4104","27,6014","14,2826","7,6899","141,8712","140,5178","115,5057","11,3552","2,8537","6,9484",c
"153,9607","129,2838","141,9698","8,8146","18,0555","17,996","126,6036","46,35","157,195","41,421","20,8318","9,4086","142,7491","137,9773","116,5151","16,4272","4,2382","8,8946",c
"152,8962","131,5718","145,8869","6,6984","13,3242","12,0521","137,575","38,6452","154,6894","29,2625","16,1194","6,8607","145,0989","137,6569","118,5442","11,9565","3,3389","6,2133",c
"161,5242","137,2238","157,2093","6,9621","12,3823","11,9481","144,6718","43,6311","165,2849","23,1103","12,4796","7,9244","152,2022","140,2209","117,864","10,9885","2,9567","6,4839",c
"155,435","126,2654","140,7811","6,8265","11,3168","11,2745","133,0643","49,3276","156,3626","23,1144","14,0763","6,9214","140,5755","139,4458","114,3378","10,3792","2,5314","5,8827",c
"149,7714","120,5662","130,8172","6,7957","15,79","14,4681","130,9833","50,4777","150,014","15,9807","22,8937","6,845","133,8979","138,1319","113,6445","14,2293","4,517","7,2624",c
"160,6909","129,9423","142,0059","6,3154","10,2188","11,1926","132,2715","50,0652","161,5917","14,7158","11,9817","6,7142","143,8557","138,8664","113,2715","9,3734","2,435","5,2967",c
"160,552","138,7944","149,5712","5,0834","10,3186","11,6899","135,2618","36,6048","161,9571","22,5259","12,0779","6,0285","151,4961","136,3705","117,9312","9,6017","2,3006","5,2058",c
"159,5307","135,5601","146,3516","4,955","8,7557","8,1003","134,3109","38,8507","159,8968","13,7377","11,6625","5,0461","148,4813","136,8631","116,7563","7,8023","2,383","4,3325",c
"163,0201","138,2797","151,0631","6,0823","9,4709","9,2994","134,7103","40,074","163,9666","20,7638","10,8719","6,4251","151,7232","137,7069","116,6977","8,5166","2,0981","4,8762",c
"154,6849","125,6672","139,0775","9,8421","22,4482","21,4138","124,5604","52,6656","157,4223","43,2746","28,106","10,7422","139,6771","139,3522","114,214","20,2126","5,7213","11,0926",c
"151,8431","122,4251","135,5915","9,0038","18,6478","17,8483","133,1681","52,0234","153,2788","27,5428","24,3601","8,8459","136,4489","139,252","113,9739","16,9612","4,7325","8,7333",c
"147,5158","117,1757","128,9017","9,279","19,6734","20,1662","128,1757","54,8666","148,5031","29,6673","25,9712","9,697","130,9082","139,0437","113,1169","18,4008","4,9805","8,9307",c
"146,6195","113,9334","124,6621","9,681","20,625","20,6493","127,8526","59,6107","147,7262","27,8006","28,3279","9,8075","127,6528","139,4035","111,6778","19,132","5,4347","9,8582",c
"154,3166","126,4369","140,6752","7,3648","18,3166","16,1278","131,6975","48,8984","155,8433","33,4479","22,7684","8,0875","140,5152","139,1809","114,9531","16,3357","4,5374","8,3116",c
"147,0505","104,5952","120,3824","8,2798","13,7191","16,624","132,5073","74,3011","147,4869","12,9687","19,6921","8,2599","120,3319","143,4722","107,0474","13,5148","3,3761","7,1219",c
"161,3412","124,7658","141,721","6,5241","10,3529","10,2735","134,22","58,9964","162,2203","15,1586","12,7084","6,3244","140,2513","141,9829","110,8154","9,3451","2,4774","5,6107",c
"148,0273","93,6141","102,0108","8,2444","16,0775","16,9566","124,7873","94,8853","148,2103","11,3922","22,681","8,2017","108,7715","144,6343","99,254","15,0831","4,6342","7,9752",c
"155,3347","109,1604","121,1111","6,9954","14,5529","15,563","128,4628","76,354","155,6541","13,1919","20,2683","7,1611","124,5079","142,9803","104,6255","13,6145","3,2769","7,4255",c
"157,6501","113,0883","127,4655","9,0017","24,3578","26,0586","128,8354","74,8618","159,0034","26,6697","30,5427","10,0936","128,7441","143,6531","105,8713","22,8227","4,9596","11,4459",c
"154,9962","109,2716","122,4954","7,7257","20,7951","22,0897","130,9544","76,173","155,4271","14,9824","30,2264","7,7578","124,8375","143,55","104,9959","19,3732","4,9278","10,513",c
"154,5961","102,2117","116,805","9,9852","20,7644","22,494","130,8331","87,5798","155,3123","12,1436","30,0615","9,7524","118,8017","145,9764","101,5631","19,3518","5,1098","11,2057",c
"152,6222","114,7398","124,8019","8,7277","25,1189","24,8068","126,0603","65,4157","153,3657","29,2636","34,1544","9,2891","128,7578","140,5733","108,7854","23,0829","6,0526","11,6177",c
"150,0251","111,197","120,9969","10,921","24,1958","25,2155","123,9997","68,2139","150,8246","27,9639","33,9161","11,1917","125,2586","140,7999","108,1778","22,6475","6,3035","11,7506",c
"143,2755","104,0406","108,8611","10,1568","21,6886","21,776","118,6694","73,1062","144,1056","25,8863","31,1496","10,4283","116,9392","139,4115","107,0915","20,1741","5,7043","11,1316",c
"146,0269","113,0767","122,2774","8,1249","16,4275","17,2724","128,1219","58,986","146,7201","20,1947","23,4546","8,0713","126,4853","138,8749","111,3039","15,455","3,7387","8,2022",c
"146,6205","114,8763","121,487","9,0914","18,0611","18,2356","128,0421","56,4199","146,7556","12,6683","27,7072","9,0593","127,612","137,7301","111,6349","16,8458","4,6965","8,9263",c
