Perimeter,Area,MinR,MaxR,Major_axis,Minor_axis,Orientation,Convex_hull_perimeter,Convex_hull_area,Aspect ratio,Circularity,Roundness,Area equivalent diameter,Perimeter equivalent diameter,Compactness,Solidity,Concavity,Convexity,Shape,Shape factor,R factor,Modification ratio,Sphericity,Bounding box area,Rectangularity,Eccentricity,Equiv_elipse_area,Max_feret,Min_feret,Elongation,HU1,HU2,HU3,HU4,HU5,HU6,HU7,FD1,FD2,FD3,FD4
"207,58","3085,5","29,61","32,46","63,92","61,71","52,31","198,88",3119,"1,04","0,9","0,96","62,68","66,08","7,84","0,99","33,5","0,96","13,97",1,"0,99","0,93","0,91",3969,"0,78","0,87",12391,"64,82","62,14","1,04","0,8","4,51","5,31","15,69","11,04","15,37","8,45","0,69","0,33","1,31","31,17"
"200,17",2852,"28,64","31,57","61,81","58,69","46,89","191,46","2885,5","1,05","0,89","0,95","60,26","63,71","7,67","0,99","33,5","0,96","14,05","0,97","0,99","0,93","0,91",3720,"0,77","0,71","11395,63","62,63","59,63","1,05","0,8","4,18","4,96","14,86","10,64","14,7","8,09","0,58","0,33","0,03","30,13"
"188,75","2525,5","25,96","31,58","61,22","52,58","163,28","181,68","2555,5","1,16","0,89","0,86","56,71","60,08","7,25","0,99",30,"0,96","14,11","0,9","0,94","0,85","0,82",3127,"0,81","0,47","10112,7","63,16","54,39","1,16","0,79","3,2","4,25","12,02","8,41","-11,89","6,45","1,75","0,72","0,01","28,42"
"164,61","1926,5",23,"26,99","53,18","46,82","176,65","158,19","1949,5","1,14","0,89","0,87","49,53","52,4","6,79","0,99",23,"0,96","14,07","0,87","0,95","0,86","0,85",2538,"0,76","0,58","7821,66","53,94","47,78","1,13","0,79","3,37","4,47","12,28","8,41","12,57","6,67","1,26","0,57","0,13","24,8"
"199,34",2835,"28,02","32,6","63,6","57,07","151,44","191,25","2867,5","1,11","0,9","0,89","60,08","63,45","7,53","0,99","32,5","0,96","14,02","0,97","0,96","0,88","0,86",3599,"0,79","0,69","11403,23","65,19","57,62","1,13","0,8","3,51","5,34","14,47","9,62","14,89","7,85","1,21","0,26","0,12","30,08"
"125,98","1132,5","17,72","19,79","38,47","37,71","42,12","120,96","1151,5","1,02","0,9","0,97","37,97","40,1","6,12","0,98",19,"0,96","14,01","0,97",1,"0,92","0,9",1482,"0,76","0,76","4557,93","39,41","38,26","1,03","0,8","4,8","5,15","-18,55","12,32","-17,39","9,87","0,73","0,06","1,38","18,8"
"206,65",3063,"29,68","32,71","64,75","60,57","49,62","198,33","3102,5","1,07","0,9","0,93","62,45","65,78","7,76","0,99","39,5","0,96","13,94","0,98","0,98","0,92","0,91",4032,"0,76","0,96","12320,24","65,31","60,8","1,07","0,8","3,95","5,33","-16,1","-10,94","-15,13","8,31","0,77","0,26","0,08","31,23"
"199,1","2822,5","26,68","32,76","65,51","55,37","5,81","191,31","2854,5","1,18","0,89","0,84","59,95","63,37","7,41","0,99",32,"0,96","14,04","0,85","0,93","0,81","0,81",3575,"0,79","0,39","11395,47","65,51","54,02","1,21","0,79","3,12","5,53","14,81","9,59","14,58","7,83","1,95","0,19","0,09","30,02"
"208,99",3111,"30,08","32,69","64,03","62,07","34,42","199,76",3151,"1,03","0,9","0,97","62,94","66,53","7,87","0,99",40,"0,96","14,04","0,98","0,99","0,94","0,92",4032,"0,77","0,83","12484,72",65,"62,09","1,05","0,8","4,62","5,31",18,"12,61","18,68","10,22","0,34","0,26","0,09","31,49"
"218,07","3407,5","31,62","34,2","66,39","65,49","142,7","208,98","3445,5","1,01","0,9","0,98","65,87","69,41","8,08","0,99",38,"0,96","13,96","0,99",1,"0,95","0,92",4422,"0,77","0,97","13660,95","67,74","65,73","1,03","0,8","5,06","4,85","16,72","11,98","16,48","9,33","0,22","0,44","0,01","32,94"
"185,92","2466,5","25,96","29,85","58,67","53,63","170,18","178,34",2497,"1,09","0,9","0,91","56,04","59,18","7,32","0,99","30,5","0,96","14,01","0,93","0,97","0,88","0,87",3245,"0,76","0,77","9885,54","59,67","55,01","1,08","0,8","3,74","4,8","14,01","9,89","-13,72","7,51","0,87","0,38","0,05","28,04"
"210,41","3157,5","29,43","33,74","67,16","60,11","169,24","201,62","3193,5","1,12","0,9","0,89","63,41","66,98","7,74","0,99",36,"0,96","14,02","0,88","0,96","0,88","0,87",3953,"0,8","0,75","12682,96","67,47","60,2","1,12","0,8","3,52","4,74","13,31","9,06","-14,33","7,29","1,3","0,49","0,08","31,73"
"198,51",2810,"27,73","31,49","62,57","57,48","10,1","190,21","2841,5","1,09","0,9","0,91","59,81","63,19","7,56","0,99","31,5","0,96","14,02","0,9","0,97","0,89","0,88",3591,"0,78","0,81","11297,33","62,97","57,55","1,09","0,8","3,65","5,36","-14,48","-9,7","15,97","7,87","1,1","0,21","0,06","29,91"
"188,85",2563,27,"29,78","59,22","55,63","88,25","181,63","2593,5","1,06","0,9","0,93","57,13","60,11","7,42","0,99","30,5","0,96","13,92","0,95","0,98","0,91","0,91",3078,"0,83","0,81","10349,88","59,48","55,57","1,07","0,8","3,94","5,08","-14,38","-9,93","-14,75","7,87","1,73","0,06","0,85","28,47"
"182,85",2386,"25,71","29,41","57,48","53,09","11,04","175,39",2415,"1,08","0,9","0,92","55,12","58,2","7,27","0,99",29,"0,96","14,01","0,95","0,97","0,89","0,87",3078,"0,78","0,74","9586,81","58,82","54,11","1,09","0,8","3,89","5,12","-14,92","-10,15","-14,62","8,01","0,1","0,13","1,79","27,25"
"204,75","3006,5",29,"32,27","64,2","59,92","89,33","196,39",3038,"1,07","0,9","0,93","61,87","65,17","7,72","0,99","31,5","0,96","13,94","0,94","0,97","0,9","0,9",3840,"0,78","0,67","12086,51","64,54","60,63","1,06","0,8","3,94","5,87","-17,26","-12,15","16,27","8,89","0,78","0,13","0,08","30,96"
"198,17",2774,"27,46","31,42","62,07","56,93","79,23","188,85","2813,5","1,09","0,89","0,92","59,43","63,08","7,54","0,99","39,5","0,95","14,16","0,92","0,97","0,88","0,87",3654,"0,76","0,66","11100,75","62,8","57,21","1,1","0,8","3,73","5,77","15,86","10,51","-15,7","8,49","1,45","0,25","2,7","29,41"
"186,51",2496,"26,48","29,47","58,03","55,25","177,5","179,13","2525,5","1,05","0,9","0,94","56,37","59,37","7,4","0,99","29,5","0,96","13,94","0,93","0,98","0,91","0,9",3245,"0,77","0,77","10072,43","58,86","55,24","1,07","0,8","4,07","5,18","15,04","10,33","15,1","8,22","0,65","0,31","0,06","28,2"
