Skewness,Kurtosis,Contrast1,Contrast2,Contrast3,Contrast4,Contrast5,Contrast6,Contrast7,Contrast8,Contrast9,Contrast10,Contrast11,Contrast12,Dissimilarity1,Dissimilarity2,Dissimilarity3,Dissimilarity4,Dissimilarity5,Dissimilarity6,Dissimilarity7,Dissimilarity8,Dissimilarity9,Dissimilarity10,Dissimilarity11,Dissimilarity12,Homogeneity1,Homogeneity2,Homogeneity3,Homogeneity4,Homogeneity5,Homogeneity6,Homogeneity7,Homogeneity8,Homogeneity9,Homogeneity10,Homogeneity11,Homogeneity12,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Energy10,Energy11,Energy12,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12,Class
"1,37","-0,12","3878,8594","2960,2953","4028,6866","2892,6314","3790,1639","2960,2953","3976,2881","2892,6314","4696,25","4840,6141","4885,4762","4595,9621","15,2112","11,609","15,7988","11,3437","14,8634","11,609","15,5933","11,3437","18,4167","18,9828","19,1587","18,0234","0,9403","0,9545","0,938","0,9555","0,9417","0,9545","0,9389","0,9555","0,9278","0,9256","0,9249","0,9293","0,7835","0,7989","0,783","0,7995","0,7902","0,7989","0,7899","0,7995","0,7877","0,7958","0,7877","0,7978","0,8193","0,857","0,8115","0,8603","0,8183","0,857","0,8081","0,8603","0,7689","0,7501","0,7577","0,7627",c
"1,39","-0,08","4903,5246","3432,8286","4604,0118","3559,3012","4786,5625","3432,8286","4556,8131","3559,3012","6043,2839","5586,9181","5538,3489","5381,3793","19,2295","13,4621","18,0549","13,958","18,7708","13,4621","17,8699","13,958","23,6992","21,9095","21,719","21,1034","0,9246","0,9472","0,9292","0,9453","0,9264","0,9472","0,9299","0,9453","0,9071","0,9141","0,9148","0,9172","0,776","0,7941","0,7777","0,7931","0,7827","0,7941","0,7831","0,7931","0,7775","0,7874","0,7793","0,7894","0,7702","0,8347","0,785","0,8285","0,7694","0,8347","0,7821","0,8285","0,7014","0,715","0,7294","0,725",c
"1,25","-0,43","4848,1817","2976,7089","4836,4071","3439,3056","4396,8517","2976,7089","4515,625","3439,3056","5675,8065","4897,7163","5531,0028","5648,0048","19,0125","11,6734","18,9663","13,4875","17,2426","11,6734","17,7083","13,4875","22,2581","19,2067","21,6902","22,149","0,9254","0,9542","0,9256","0,9471","0,9324","0,9542","0,9306","0,9471","0,9127","0,9247","0,9149","0,9131","0,7624","0,7855","0,7629","0,7815","0,7722","0,7855","0,7716","0,7815","0,7664","0,7814","0,768","0,7757","0,7869","0,8651","0,787","0,844","0,8015","0,8651","0,7957","0,844","0,7378","0,7645","0,744","0,7277",c
"1,33","-0,24","5601,9928","3387,2744","5507,9386","3947,3749","5084,2593","3387,2744","5081,741","3947,3749","6540,8144","5418,75","6212,234","6363,5577","21,9686","13,2834","21,5998","15,4799","19,9383","13,2834","19,9284","15,4799","25,6503","21,25","24,3617","24,9551","0,9138","0,9479","0,9153","0,9393","0,9218","0,9479","0,9219","0,9393","0,8994","0,9167","0,9045","0,9021","0,7646","0,7908","0,7654","0,7861","0,7753","0,7908","0,7754","0,7861","0,769","0,7868","0,7717","0,7799","0,7441","0,8399","0,7484","0,8133","0,7608","0,8399","0,7608","0,8133","0,6838","0,7264","0,6996","0,6775",c
"1,36","-0,16","4140,9135","2867,1283","3992,9216","2977,4025","3992,7632","2867,1283","3894,1525","2977,4025","5131,5812","4582,1711","4856,794","4810,3289","16,2389","11,2436","15,6585","11,6761","15,6579","11,2436","15,2712","11,6761","20,1238","17,9693","19,0463","18,864","0,9363","0,9559","0,9386","0,9542","0,9386","0,9559","0,9401","0,9542","0,9211","0,9295","0,9253","0,926","0,7805","0,7981","0,781","0,7972","0,7883","0,7981","0,7878","0,7972","0,7845","0,7966","0,785","0,7947","0,8078","0,8626","0,8152","0,8573","0,8087","0,8626","0,8146","0,8573","0,7469","0,7651","0,7627","0,7534",c
"0,48","-1,77","7750,7277","6705,9922","7970,5159","6983,4815","9123,8782","6705,9922","9342,1408","6983,4815","12195,1648","11472,1284","12738,8158","12350,8446","30,395","26,298","31,2569","27,3862","35,7799","26,298","36,6358","27,3862","47,8242","44,9887","49,9561","48,4347","0,8808","0,8969","0,8774","0,8926","0,8597","0,8969","0,8563","0,8926","0,8125","0,8236","0,8041","0,8101","0,6529","0,6665","0,6515","0,664","0,6434","0,6665","0,6427","0,664","0,6201","0,6321","0,6176","0,6253","0,7457","0,7774","0,7381","0,7682","0,6986","0,7774","0,6903","0,7682","0,595","0,6124","0,5751","0,5827",c
"0,9","-1,2","4898,5828","3778,9747","4752,3311","3912,1544","5343,8364","3778,9747","5063,4221","3912,1544",7225,"6447,4815","6688,7695","6688,1875","19,2101","14,8195","18,6366","15,3418","20,9562","14,8195","19,8566","15,3418","28,3333","25,2842","26,2305","26,2282","0,9247","0,9419","0,9269","0,9398","0,9178","0,9419","0,9221","0,9398","0,8889","0,9008","0,8971","0,8971","0,7221","0,7377","0,7235","0,7364","0,7224","0,7377","0,7249","0,7364","0,7097","0,7231","0,7143","0,721","0,8158","0,8551","0,8213","0,85","0,7959","0,8551","0,8066","0,85","0,7205","0,7444","0,7412","0,7348",c
"1,47","0,17","4149,7436","2935,1562","3879,3324","2935,1562","4001,5385","2935,1562","3753,2468","2935,1562","5098,1139","4712,8032","4614,6774","4595,9569","16,2735","11,5104","15,2131","11,5104","15,6923","11,5104","14,7186","11,5104","19,9926","18,4816","18,0968","18,0234","0,9362","0,9549","0,9403","0,9549","0,9385","0,9549","0,9423","0,9549","0,9216","0,9275","0,929","0,9293","0,7926","0,8098","0,7938","0,8098","0,8005","0,8098","0,801","0,8098","0,797","0,8082","0,799","0,8092","0,7955","0,8501","0,8099","0,8501","0,7958","0,8501","0,8102","0,8501","0,732","0,7408","0,76","0,7472",c
"1,34","-0,2","4178,7739","3013,1912","4161,3379","3163,0184","4064,0625","3013,1912","4045,3341","3163,0184","5113,9453","4831,3128","5126,8735","4917,2792","16,3873","11,8164","16,319","12,404","15,9375","11,8164","15,8641","12,404","20,0547","18,9463","20,1054","19,2834","0,9357","0,9537","0,936","0,9514","0,9375","0,9537","0,9378","0,9514","0,9214","0,9257","0,9212","0,9244","0,7782","0,7954","0,7785","0,7942","0,7852","0,7954","0,7857","0,7942","0,7815","0,7925","0,782","0,7921","0,8077","0,8566","0,8084","0,8494","0,8077","0,8566","0,8082","0,8494","0,7518","0,7549","0,7504","0,7501",c
"1,32","-0,27","3837,2962","2728,3217","3806,5599","2698,007","3745,6098","2728,3217","3592,2902","2698,007","4621,5352","4501,7308","4710,6179","4376,6827","15,0482","10,6993","14,9277","10,5804","14,6887","10,6993","14,0874","10,5804","18,1237","17,6538","18,473","17,1635","0,941","0,958","0,9415","0,9585","0,9424","0,958","0,9448","0,9585","0,9289","0,9308","0,9276","0,9327","0,7782","0,7943","0,7783","0,7946","0,7847","0,7943","0,786","0,7946","0,7822","0,7911","0,7815","0,7921","0,8259","0,8724","0,8274","0,8738","0,8254","0,8724","0,8326","0,8738","0,7794","0,7765","0,775","0,7827",c
